
input/input1.dat ================================     ================     ================================

-0.02957 -0.01502 0.00000 0.00000 0.00000 0.00000 (1 / 10000) - (3700)
-0.01876 -0.01272 0.00000 0.00000 0.00000 0.00000 (2 / 10000) - (3800)
-0.03308 -0.01013 0.00000 0.00000 0.00000 0.00000 (3 / 10000) - (3900)
-0.03308 -0.01011 -0.00001 -0.00000 0.00000 0.00000 (4 / 10000) - (3901)
-0.03308 -0.01007 -0.00003 -0.00000 0.00000 0.00000 (5 / 10000) - (3902)
-0.03309 -0.00999 -0.00004 0.00000 0.00000 0.00000 (6 / 10000) - (3903)
-0.03309 -0.00988 -0.00007 0.00001 0.00000 0.00000 (7 / 10000) - (3904)
-0.03308 -0.00973 -0.00008 0.00001 0.00000 0.00000 (8 / 10000) - (3905)
-0.03305 -0.00955 -0.00008 0.00002 0.00000 0.00000 (9 / 10000) - (3906)
-0.03299 -0.00932 -0.00005 0.00003 0.00000 0.00000 (10 / 10000) - (3907)
-0.03288 -0.00905 0.00003 0.00002 0.00000 0.00000 (11 / 10000) - (3908)
-0.03271 -0.00872 0.00012 0.00001 0.00000 0.00000 (12 / 10000) - (3909)
-0.03247 -0.00833 0.00018 -0.00001 0.00000 0.00000 (13 / 10000) - (3910)
-0.03214 -0.00789 0.00013 -0.00003 0.00000 0.00000 (14 / 10000) - (3911)
-0.03169 -0.00736 -0.00007 -0.00003 0.00000 0.00000 (15 / 10000) - (3912)
-0.03110 -0.00676 -0.00026 -0.00001 0.00000 0.00000 (16 / 10000) - (3913)
-0.03034 -0.00607 -0.00024 0.00002 0.00000 0.00000 (17 / 10000) - (3914)
-0.02940 -0.00529 0.00011 0.00003 0.00000 0.00000 (18 / 10000) - (3915)
-0.02824 -0.00441 0.00044 0.00001 0.00000 0.00000 (19 / 10000) - (3916)
-0.02682 -0.00341 0.00022 -0.00003 0.00000 0.00000 (20 / 10000) - (3917)
-0.02513 -0.00230 -0.00046 -0.00002 0.00000 0.00000 (21 / 10000) - (3918)
